Order ID,Order Date,Month,Year,Customer Name,Customer Type,Segment,Region,Country,State,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Shipping Cost,Sales,Profit,Profit Margin,Order Priority,Payment Mode
ORD-10026,2024-05-09,May,2024,Joseph Moore,Returning,Consumer,North,Hungary,Georgia,Lake Teresamouth,Technology,Accessories,Fund,6,489.93,0.0,43.35,2939.58,160.13,0.05,High,UPI
ORD-10027,2024-12-09,Dec,2024,Paula Page,VIP,Corporate,South,Christmas Island,Rhode Island,Lake Zachary,Technology,Accessories,Crime,3,283.35,0.25,37.29,637.54,156.77,0.25,Critical,UPI
ORD-10028,2024-05-08,May,2024,Tammie Richardson,VIP,Home Office,Central,Kyrgyz Republic,Ohio,Delgadoland,Furniture,Tables,Pressure,3,700.44,0.23,24.95,1618.02,354.42,0.22,Medium,Net Banking
ORD-10029,2024-06-11,Jun,2024,Lauren Fletcher,Returning,Home Office,Central,Bosnia and Herzegovina,Tennessee,East Justinside,Office Supplies,Storage,Reduce,10,320.54,0.12,19.64,2820.75,-243.44,-0.09,High,Net Banking
ORD-10030,2024-03-30,Mar,2024,Dawn Rodriguez,Returning,Corporate,East,Hungary,New York,Craigview,Technology,Accessories,Born,8,358.5,0.22,18.48,2237.04,633.05,0.28,High,Net Banking
ORD-10031,2025-10-12,Oct,2025,Philip Roberts,VIP,Home Office,South,Cyprus,Alabama,Rodriguezfurt,Technology,Accessories,Fall,1,588.81,0.13,46.57,512.26,-21.03,-0.04,Medium,Card
ORD-10032,2024-04-01,Apr,2024,Katelyn Brady,Returning,Consumer,North,India,New Mexico,Veronicaborough,Office Supplies,Paper,General,1,38.35,0.06,26.45,36.05,6.53,0.18,Critical,Card
ORD-10033,2024-07-20,Jul,2024,Tiffany Adams,New,Corporate,North,Russian Federation,Oregon,South Victorside,Office Supplies,Paper,Season,5,226.51,0.02,23.97,1109.9,219.09,0.2,Low,UPI
ORD-10034,2025-01-29,Jan,2025,Jessica Henry,New,Corporate,West,Qatar,South Dakota,Catherinestad,Furniture,Bookcases,Just,8,726.81,0.04,25.48,5581.9,-331.29,-0.06,Low,Cash
ORD-10035,2023-06-19,Jun,2023,Natasha Rodriguez,Returning,Consumer,East,Cambodia,West Virginia,East Makaylamouth,Office Supplies,Paper,Purpose,4,556.18,0.13,35.37,1935.51,305.65,0.16,High,UPI
ORD-10036,2025-03-12,Mar,2025,Misty Martin,VIP,Corporate,Central,Pitcairn Islands,Michigan,Williamside,Office Supplies,Storage,Financial,3,594.49,0.15,45.99,1515.95,257.1,0.17,Critical,Card
ORD-10037,2023-11-16,Nov,2023,Megan Becker,New,Consumer,East,Anguilla,Maryland,Gravesburgh,Office Supplies,Paper,Word,1,363.18,0.22,5.22,283.28,-21.88,-0.08,Low,Card
ORD-10038,2025-06-28,Jun,2025,Brian May,Returning,Home Office,Central,Tunisia,Illinois,South Amberton,Technology,Laptops,That,6,485.31,0.26,14.48,2154.78,150.3,0.07,Critical,Net Banking
ORD-10039,2024-06-12,Jun,2024,Alicia Fox,New,Home Office,North,Fiji,Maine,Deanport,Technology,Phones,Rise,6,527.53,0.2,8.24,2532.14,72.71,0.03,High,UPI
ORD-10040,2023-09-18,Sep,2023,John Brooks,New,Corporate,South,Iceland,Iowa,West Ethanstad,Furniture,Tables,Everything,10,450.0,0.11,13.06,4005.0,202.3,0.05,Low,Card
ORD-10041,2025-03-31,Mar,2025,Shawn Hamilton,VIP,Consumer,East,Saudi Arabia,Alabama,Phyllisland,Technology,Phones,Doctor,2,526.8,0.19,26.87,853.42,30.19,0.04,Critical,Net Banking
ORD-10042,2024-10-22,Oct,2024,Robert Maynard,Returning,Home Office,North,New Caledonia,North Carolina,Dudleystad,Office Supplies,Storage,Success,3,195.77,0.17,25.19,487.47,13.36,0.03,Medium,UPI
ORD-10043,2025-10-18,Oct,2025,William Bond,VIP,Corporate,South,Ukraine,Delaware,South Tammy,Furniture,Tables,Second,1,56.17,0.23,39.87,43.25,4.86,0.11,Low,Cash
ORD-10044,2023-08-25,Aug,2023,Kristina Patton,VIP,Home Office,South,Tunisia,California,Alexanderland,Furniture,Bookcases,Cover,3,344.04,0.24,16.25,784.41,231.37,0.29,Critical,Net Banking
ORD-10045,2025-01-05,Jan,2025,Dan Jones,Returning,Consumer,Central,Kazakhstan,Wisconsin,New Cindy,Furniture,Bookcases,Place,8,410.54,0.05,30.81,3120.1,447.03,0.14,Critical,Cash
ORD-10046,2023-05-11,May,2023,Chad Bell,Returning,Corporate,East,Bosnia and Herzegovina,Idaho,East Barbarastad,Furniture,Bookcases,Ability,10,522.23,0.26,20.02,3864.5,754.32,0.2,Low,Net Banking
ORD-10047,2024-01-15,Jan,2024,Peter Garza,New,Consumer,Central,Venezuela,Idaho,East Lisaside,Furniture,Chairs,Far,6,365.34,0.26,21.54,1622.11,437.6,0.27,Critical,Net Banking
ORD-10048,2023-11-01,Nov,2023,Mia Johnson,Returning,Corporate,West,Solomon Islands,Maine,West Nicholas,Technology,Laptops,Compare,5,372.69,0.08,13.32,1714.37,-99.87,-0.06,Low,UPI
ORD-10049,2025-03-23,Mar,2025,Karen Pierce,VIP,Consumer,South,Trinidad and Tobago,Hawaii,Lake Jennytown,Technology,Laptops,Hit,5,474.92,0.16,18.37,1994.66,328.45,0.16,Low,Net Banking
ORD-10050,2023-08-03,Aug,2023,Joel Ball,VIP,Consumer,Central,Malta,Vermont,Cortezport,Office Supplies,Paper,Place,2,399.17,0.1,9.33,718.51,5.4,0.01,Critical,Cash
ORD-10051,2023-10-25,Oct,2023,Patricia Matthews,VIP,Home Office,South,Belgium,Alaska,South Taylor,Office Supplies,Binders,Short,6,471.66,0.07,28.5,2631.86,-0.85,0.0,High,Card
ORD-10052,2025-01-03,Jan,2025,Jack Woods DDS,New,Corporate,Central,Suriname,Nevada,Ryanport,Technology,Accessories,Believe,4,115.82,0.29,44.96,328.93,5.04,0.02,Low,Cash
ORD-10053,2023-05-18,May,2023,Peter Dennis,Returning,Home Office,East,Christmas Island,Minnesota,Baxterfurt,Technology,Accessories,Follow,8,619.52,0.1,43.33,4460.54,309.79,0.07,High,Cash
ORD-10054,2025-04-02,Apr,2025,Travis Woods,New,Home Office,East,Dominican Republic,New Hampshire,Gregoryport,Technology,Accessories,Help,1,510.01,0.11,37.47,453.91,-36.74,-0.08,Medium,Card
ORD-10055,2023-01-02,Jan,2023,Casey Morrison,VIP,Corporate,West,Bermuda,Tennessee,Lauramouth,Technology,Accessories,Standard,9,612.66,0.15,27.59,4686.85,-376.67,-0.08,Low,Cash
ORD-10056,2023-03-05,Mar,2023,Samuel Holt,Returning,Corporate,North,Guadeloupe,New Jersey,Michelletown,Technology,Laptops,Agreement,10,567.89,0.11,17.5,5054.22,-281.76,-0.06,Low,Cash
ORD-10057,2024-11-06,Nov,2024,James Griffith,Returning,Home Office,North,Benin,Ohio,Macdonaldfort,Furniture,Chairs,Husband,7,454.0,0.29,7.46,2256.38,327.44,0.15,High,Cash
ORD-10058,2022-12-24,Dec,2022,Angelica Gonzales,New,Corporate,East,Venezuela,Louisiana,Edwardsstad,Office Supplies,Storage,Organization,5,607.96,0.01,39.08,3009.4,190.05,0.06,Medium,Cash
ORD-10059,2024-03-03,Mar,2024,Anna Hughes,New,Corporate,West,Guinea,Oregon,Dianaberg,Furniture,Tables,Position,2,160.25,0.15,24.26,272.43,68.3,0.25,High,Cash
ORD-10060,2025-10-10,Oct,2025,Randall Tucker,VIP,Home Office,Central,Iran,New Jersey,Ellisborough,Office Supplies,Binders,Bad,4,682.88,0.22,45.59,2130.59,110.7,0.05,Low,Cash
ORD-10061,2025-03-10,Mar,2025,Michael Carlson,VIP,Corporate,East,Martinique,Delaware,Hernandezfort,Furniture,Chairs,Half,10,325.51,0.13,42.65,2831.94,344.02,0.12,Medium,Card
ORD-10062,2025-06-14,Jun,2025,Megan Rowland,New,Corporate,East,Philippines,North Carolina,Angelaport,Office Supplies,Binders,Record,6,81.24,0.14,12.06,419.2,122.23,0.29,Low,Cash
ORD-10063,2024-05-01,May,2024,Claudia Lambert,New,Consumer,East,Germany,Arkansas,Mosshaven,Office Supplies,Paper,Season,5,164.59,0.05,32.02,781.8,126.37,0.16,Low,UPI
ORD-10064,2025-03-04,Mar,2025,Matthew Edwards,VIP,Home Office,North,Portugal,Wisconsin,West Erichaven,Technology,Accessories,Voice,9,215.98,0.04,30.94,1866.07,348.45,0.19,High,Net Banking
ORD-10065,2024-06-06,Jun,2024,Carla Long,VIP,Home Office,North,Rwanda,Alaska,Taylorview,Technology,Accessories,Until,8,72.67,0.09,12.55,529.04,14.27,0.03,Medium,Net Banking
ORD-10066,2023-02-13,Feb,2023,David Clark,Returning,Home Office,East,Cook Islands,Arizona,Morrisonbury,Technology,Laptops,Recent,9,775.61,0.0,10.93,6980.49,57.95,0.01,Low,Cash
ORD-10067,2025-03-10,Mar,2025,Michael Hodge,VIP,Consumer,Central,Bermuda,South Dakota,East Suzanneshire,Office Supplies,Storage,Administration,10,252.04,0.05,15.77,2394.38,308.66,0.13,Critical,UPI
ORD-10068,2023-02-23,Feb,2023,Samuel Beck,New,Corporate,Central,Korea,South Carolina,Dustintown,Technology,Laptops,Kid,3,656.49,0.07,48.8,1831.61,416.9,0.23,High,Cash
ORD-10069,2025-02-05,Feb,2025,Mercedes Wise,Returning,Home Office,East,Vanuatu,Mississippi,New Mark,Furniture,Bookcases,Side,10,399.14,0.07,17.72,3712.0,133.6,0.04,Critical,Cash
ORD-10070,2023-03-16,Mar,2023,Faith Ward,New,Consumer,South,Mauritania,Hawaii,Mckeechester,Furniture,Chairs,Almost,7,394.19,0.29,23.96,1959.12,522.87,0.27,Low,Net Banking
ORD-10071,2025-10-22,Oct,2025,Tiffany Webster,Returning,Home Office,North,Burundi,Arizona,Masonchester,Office Supplies,Storage,Executive,2,699.96,0.15,16.13,1189.93,210.25,0.18,Medium,Cash
ORD-10072,2023-09-24,Sep,2023,Ernest Ferguson,Returning,Consumer,West,Congo,New Hampshire,Gonzalestown,Office Supplies,Storage,Task,2,189.27,0.18,29.03,310.4,38.18,0.12,Low,Card
ORD-10073,2023-04-08,Apr,2023,Karen Ward,VIP,Home Office,South,Antigua and Barbuda,Colorado,Angelicafort,Technology,Accessories,Son,5,349.36,0.05,31.75,1659.46,106.55,0.06,Medium,Net Banking
ORD-10074,2023-03-17,Mar,2023,Emily Bryant,VIP,Home Office,Central,Singapore,Arkansas,North Joseph,Technology,Laptops,Any,9,90.42,0.17,8.74,675.44,147.73,0.22,High,UPI
ORD-10075,2024-12-16,Dec,2024,Cheyenne Vincent,Returning,Home Office,North,Mayotte,South Dakota,East David,Furniture,Bookcases,For,5,660.3,0.03,26.07,3202.45,185.21,0.06,High,Cash
ORD-10076,2023-01-06,Jan,2023,Elizabeth Melendez,VIP,Consumer,West,French Southern Territories,Rhode Island,Wrightland,Furniture,Tables,Society,3,29.41,0.16,15.36,74.11,21.24,0.29,Critical,UPI
ORD-10077,2025-04-26,Apr,2025,Briana Simmons,VIP,Home Office,South,French Southern Territories,Ohio,Bettymouth,Technology,Phones,Enough,4,425.24,0.26,17.88,1258.71,123.91,0.1,Critical,Cash
ORD-10078,2024-06-28,Jun,2024,Monique Stone,Returning,Home Office,North,Netherlands,New York,South Lisa,Office Supplies,Paper,While,1,507.3,0.19,29.44,410.91,60.02,0.15,High,UPI
ORD-10079,2024-02-21,Feb,2024,Juan Gardner,New,Home Office,Central,Niue,Utah,Wesleymouth,Furniture,Tables,By,6,38.53,0.03,6.92,224.24,40.89,0.18,Medium,Cash
ORD-10080,2025-05-12,May,2025,Thomas Lopez,New,Consumer,South,Peru,North Carolina,New Kenneth,Furniture,Tables,Ground,2,743.91,0.01,31.03,1472.94,322.86,0.22,Medium,UPI
ORD-10081,2025-07-23,Jul,2025,Michael Brooks,Returning,Consumer,North,Saudi Arabia,Mississippi,North Joseph,Technology,Accessories,Field,8,193.04,0.18,25.51,1266.34,114.34,0.09,Critical,Net Banking
ORD-10082,2025-08-06,Aug,2025,Zachary Garcia,Returning,Home Office,South,Netherlands Antilles,West Virginia,West Maryshire,Technology,Phones,Where,2,317.58,0.21,21.52,501.78,-29.2,-0.06,High,Net Banking
ORD-10083,2024-03-03,Mar,2024,Stephanie Rogers,New,Corporate,East,Niger,Louisiana,Johnland,Office Supplies,Binders,Soldier,8,322.84,0.13,49.08,2246.97,320.32,0.14,Low,Net Banking
ORD-10084,2023-12-23,Dec,2023,Megan Martin,New,Home Office,East,Indonesia,Iowa,Lake Angelaport,Office Supplies,Binders,Simply,8,503.42,0.25,23.89,3020.52,462.6,0.15,Low,Card
ORD-10085,2022-12-21,Dec,2022,Kelli Wang,VIP,Corporate,North,Mauritania,Georgia,West Gregorymouth,Office Supplies,Storage,Know,7,592.61,0.22,11.2,3235.65,928.54,0.29,Medium,Net Banking
ORD-10086,2024-08-25,Aug,2024,Amanda Mccarthy,New,Consumer,South,Bahrain,Kansas,Port Rebeccafort,Technology,Laptops,Can,10,203.01,0.26,23.87,1502.27,430.26,0.29,High,UPI
ORD-10087,2023-04-29,Apr,2023,Stephanie Lewis,New,Corporate,North,Macedonia,New Hampshire,Michellemouth,Technology,Phones,Establish,9,385.88,0.2,24.72,2778.34,-204.71,-0.07,High,UPI
ORD-10088,2023-11-19,Nov,2023,Jonathan Walsh,New,Home Office,West,Martinique,Maryland,West Leahbury,Technology,Phones,Pm,9,628.55,0.05,42.3,5374.1,-399.85,-0.07,High,UPI
ORD-10089,2023-01-22,Jan,2023,Walter Martinez,VIP,Consumer,North,Bolivia,Virginia,Jillianland,Furniture,Tables,Center,9,293.91,0.01,21.53,2618.74,-216.45,-0.08,High,UPI
ORD-10090,2024-09-04,Sep,2024,Lauren Allen,New,Corporate,Central,Finland,Arizona,East Taylorview,Furniture,Chairs,Personal,9,626.07,0.28,17.92,4056.93,498.13,0.12,Critical,UPI
ORD-10091,2023-06-17,Jun,2023,Rebecca Ruiz,VIP,Consumer,East,Sao Tome and Principe,Minnesota,West Jennifer,Technology,Accessories,Occur,6,656.55,0.05,5.33,3742.33,461.93,0.12,Medium,Card
ORD-10092,2023-09-17,Sep,2023,Stephanie Williams,VIP,Corporate,Central,Montserrat,Mississippi,West Ian,Office Supplies,Storage,News,2,271.43,0.08,32.59,499.43,-28.77,-0.06,Medium,Net Banking
ORD-10093,2023-06-12,Jun,2023,Dylan Munoz,New,Home Office,West,Botswana,South Dakota,Jefferyside,Office Supplies,Binders,Particularly,9,322.87,0.09,46.66,2644.31,100.7,0.04,High,Cash
ORD-10094,2024-05-17,May,2024,Victoria Snyder,VIP,Corporate,West,Namibia,Nevada,Port Michael,Furniture,Chairs,Stock,6,107.12,0.2,7.19,514.18,-33.66,-0.07,Low,Card
ORD-10095,2023-05-02,May,2023,Mary Lee,VIP,Home Office,West,Saint Martin,Tennessee,Campbelltown,Furniture,Bookcases,Authority,3,257.24,0.28,12.17,555.64,-52.65,-0.09,Low,Cash
ORD-10096,2025-07-23,Jul,2025,Kimberly Parker,VIP,Corporate,East,Bolivia,West Virginia,East David,Office Supplies,Storage,Sing,7,684.62,0.27,26.13,3498.41,656.8,0.19,High,UPI
ORD-10097,2023-06-15,Jun,2023,Rhonda Young,New,Corporate,West,Martinique,Vermont,North Ryanmouth,Technology,Accessories,Cost,7,224.85,0.05,24.48,1495.25,-105.83,-0.07,Low,Cash
ORD-10098,2024-10-22,Oct,2024,Michelle Garrett,VIP,Consumer,East,Bahamas,Delaware,Gordonton,Furniture,Bookcases,Site,7,655.76,0.02,18.99,4498.51,-237.17,-0.05,Low,Net Banking
ORD-10099,2023-08-21,Aug,2023,Jeffrey Randall,Returning,Home Office,North,Georgia,Connecticut,Greenberg,Technology,Phones,Ever,3,100.17,0.15,45.94,255.43,30.09,0.12,High,UPI
ORD-10100,2024-02-10,Feb,2024,Robert Harris,VIP,Home Office,North,Malta,North Dakota,North Erinport,Office Supplies,Storage,Pattern,1,21.75,0.11,17.13,19.36,3.48,0.18,Low,UPI
ORD-10101,2024-02-07,Feb,2024,Stephanie Allen,New,Home Office,East,Togo,Florida,Greenmouth,Office Supplies,Binders,Thus,7,562.46,0.08,29.16,3622.24,331.74,0.09,Critical,UPI
ORD-10102,2023-03-09,Mar,2023,Ricky Martinez,VIP,Corporate,South,Oman,Arizona,East Mia,Office Supplies,Paper,Talk,9,181.35,0.08,13.61,1501.58,97.06,0.06,Low,UPI
ORD-10103,2023-01-22,Jan,2023,Thomas Dorsey DVM,VIP,Home Office,North,Austria,South Carolina,Jonesville,Technology,Phones,Show,8,502.49,0.19,30.66,3256.14,973.08,0.3,Low,Net Banking
ORD-10104,2023-03-19,Mar,2023,Ryan Quinn,VIP,Consumer,North,Belgium,Idaho,Jamesmouth,Furniture,Chairs,Make,7,562.27,0.16,24.79,3306.15,-171.39,-0.05,Critical,Card
ORD-10105,2025-09-07,Sep,2025,Kristi Moreno,New,Consumer,North,Sri Lanka,Connecticut,Lake Taylor,Technology,Accessories,Care,3,584.06,0.28,31.58,1261.57,-16.7,-0.01,Critical,Card
ORD-10106,2025-06-25,Jun,2025,Andrew Shields,New,Corporate,North,Peru,Hawaii,Ellenland,Furniture,Chairs,Inside,5,127.92,0.12,28.29,562.85,133.38,0.24,High,Card
ORD-10107,2025-09-28,Sep,2025,Jessica Stark,VIP,Corporate,Central,Pakistan,Michigan,East Jillian,Furniture,Bookcases,Else,3,448.51,0.09,5.89,1224.43,111.86,0.09,Low,Card
ORD-10108,2025-05-26,May,2025,Alyssa Park,New,Consumer,East,Sudan,Wyoming,Mcdanielfort,Technology,Laptops,Mission,9,520.45,0.28,37.68,3372.52,516.62,0.15,High,Net Banking
ORD-10109,2024-09-15,Sep,2024,Michele Newton,New,Home Office,East,Bolivia,New Jersey,Donnaburgh,Furniture,Bookcases,Although,8,673.83,0.14,12.25,4635.95,1257.92,0.27,Medium,Card
ORD-10110,2024-01-15,Jan,2024,Debra Jackson,New,Consumer,North,Indonesia,Montana,North Lisamouth,Furniture,Chairs,Ground,6,272.48,0.02,15.05,1602.18,386.61,0.24,Medium,Net Banking
ORD-10111,2025-05-31,May,2025,Edward Hayes,VIP,Consumer,Central,United Arab Emirates,Arkansas,Paulmouth,Office Supplies,Binders,Difference,4,729.06,0.05,46.69,2770.43,-222.25,-0.08,Critical,Cash
ORD-10112,2023-05-30,May,2023,Mark Harris,Returning,Consumer,West,India,Kansas,Port William,Technology,Phones,Office,3,377.41,0.3,29.88,792.56,228.88,0.29,High,Net Banking
ORD-10113,2024-01-31,Jan,2024,Patrick Kennedy,New,Corporate,South,Sweden,Pennsylvania,Angelastad,Technology,Laptops,Wind,8,302.23,0.17,23.38,2006.81,164.16,0.08,Medium,UPI
ORD-10114,2023-05-24,May,2023,Kevin Sanders,Returning,Corporate,West,Mali,Oregon,West Michael,Technology,Accessories,Born,5,490.96,0.25,10.86,1841.1,-49.82,-0.03,Critical,Net Banking
ORD-10115,2024-06-26,Jun,2024,Jessica Cobb,New,Corporate,West,Guyana,Delaware,Teresachester,Technology,Phones,Price,10,161.98,0.26,19.34,1198.65,166.28,0.14,Low,Card
ORD-10116,2023-05-10,May,2023,Darin Clark,Returning,Home Office,Central,Guinea,Hawaii,East Stacyburgh,Furniture,Chairs,,1,745.17,0.0,25.91,745.17,-17.06,-0.02,Critical,Cash
ORD-10117,2023-03-03,Mar,2023,Sherry Brown,VIP,Consumer,South,Aruba,Wyoming,South Ashleyport,Office Supplies,Paper,Know,3,345.55,0.16,49.74,870.79,139.11,0.16,High,UPI
ORD-10118,2024-10-25,Oct,2024,Allen Murphy,Returning,Corporate,Central,Sao Tome and Principe,North Carolina,Mccalltown,Furniture,Bookcases,Lay,4,417.97,0.15,23.86,1421.1,329.01,0.23,Low,Card
ORD-10119,2023-03-14,Mar,2023,John Smith,Returning,Home Office,West,Belize,Idaho,East Donnamouth,Office Supplies,Paper,Seat,5,356.31,0.05,37.82,1692.47,321.0,0.19,High,Cash
ORD-10120,2025-10-17,Oct,2025,Noah Andrews,New,Corporate,Central,Denmark,New Jersey,West Leslie,Furniture,Tables,Catch,8,426.21,0.19,23.99,2761.84,585.08,0.21,Medium,Card
ORD-10121,2024-10-03,Oct,2024,Brian Velasquez,New,Home Office,North,Croatia,Illinois,Ramirezfort,Technology,Accessories,Should,6,431.26,0.24,34.13,1966.55,365.57,0.19,High,UPI
ORD-10122,2025-06-10,Jun,2025,Sarah Johnston,VIP,Corporate,North,Cameroon,Montana,Cherylside,Furniture,Tables,Tree,6,67.72,0.02,34.83,398.19,55.85,0.14,Critical,Cash
ORD-10123,2024-03-02,Mar,2024,Kendra Wilson,Returning,Corporate,North,Bolivia,Michigan,Lake Renee,Office Supplies,Paper,Part,8,444.2,0.15,47.06,3020.56,643.98,0.21,Medium,UPI
ORD-10124,2024-06-26,Jun,2024,Dr. Tyler Smith,Returning,Home Office,West,Austria,New Hampshire,Mahoneystad,Technology,Laptops,Sister,7,692.32,0.21,31.41,3828.53,755.64,0.2,Low,UPI
ORD-10125,2024-11-30,Nov,2024,Jonathan Costa,VIP,Home Office,Central,Kiribati,Delaware,Ibarraborough,Office Supplies,Binders,Issue,5,794.71,0.11,7.84,3536.46,242.33,0.07,Medium,Cash
ORD-10126,2023-06-27,Jun,2023,Andrew Neal,VIP,Home Office,North,Benin,Colorado,Richardborough,Technology,Laptops,Avoid,2,792.13,0.08,8.74,1457.52,29.5,0.02,Medium,Net Banking
ORD-10127,2024-09-07,Sep,2024,Jeremy Russell,New,Consumer,West,Liechtenstein,California,West Robert,Office Supplies,Paper,Billion,2,417.5,0.18,45.98,684.7,-27.57,-0.04,High,Card
ORD-10128,2025-08-02,Aug,2025,Jacob Torres,VIP,Consumer,Central,Palau,Indiana,Greenshire,Office Supplies,Paper,Section,8,581.15,0.29,23.88,3300.93,744.11,0.23,Low,UPI
ORD-10129,2025-02-13,Feb,2025,Juan Benton,VIP,Home Office,Central,Turkmenistan,Virginia,Lake Briana,Furniture,Bookcases,Peace,9,292.08,0.13,48.0,2286.99,-221.74,-0.1,High,UPI
